Year;Code;Number;Line;CreationDate;ModificationDate;Name;Value;BeneficiaryCode;BeneficiaryName;IrisCode;Sector;ActionCode;ActionName
2009;IRIS ;270876;1;20091112;20091112;09000395 - 1;31299200;5242;PARIS HABITAT OPH                     ;09000395;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270901;1;20091112;20110805;09000396 - 1;17421400;5242;PARIS HABITAT OPH                     ;09000396;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270878;1;20091112;20091112;09000408 - 1;12101700;17952;COOPERATION ET FAMILLE                ;09000408;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270879;1;20091112;20091112;09000410 - 1;19843900;7010;IMMOBILIERE 3F                        ;09000410;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270880;1;20091112;20091112;09000411 - 1;4153700;7010;IMMOBILIERE 3F                        ;09000411;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270881;1;20091112;20091112;09000424 - 1;13152100;16744;SAIMV SA IMMO MOULIN VERT SA HAB      ;09000424;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270882;1;20091112;20091112;09000429 - 1;25698200;6848;SEMIDEP SOC ECONOMIE MIXTE IMMOB      ;09000429;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270882;2;20140109;20140109;09000429 - 1;0;16248;ELOGIE SIEMP                          ;09000429;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270883;1;20091112;20091112;09000436 - 1;12411900;6848;SEMIDEP SOC ECONOMIE MIXTE IMMOB      ;09000436;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270883;2;20140109;20140109;09000436 - 1;0;16248;ELOGIE SIEMP                          ;09000436;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270884;1;20091112;20091112;09000441 - 1;2612400;12610;SEMMY  SAEM CONSTRUC &                ;09000441;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270885;1;20091112;20091112;09000443 - 1;2047400;12610;SEMMY  SAEM CONSTRUC &                ;09000443;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270886;1;20091112;20091112;09000532 - 1;59528800;7010;IMMOBILIERE 3F                        ;09000532;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
